Foreign;English;seen;correct;wrong;known
ال ; the;0;0;0;0
و ; and;0;0;0;0
في ; in;0;0;0;0
مِن ; from;0;0;0;0
ل ; for;0;0;0;0
ب ; with;0;0;0;0
بِسَبَب ; because of;0;0;0;0
عَلى ; on;0;0;0;0
أنَّ ; that;0;0;0;0
إلى ; to;0;0;0;0
 يَكونُ ; to be ;0;0;0;0
لا ; no;0;0;0;0
ولا ; neither;0;0;0;0
ألا ; doesn’t ;0;0;0;0
الله ; Allah;0;0;0;0
والله ; I swear;0;0;0;0
أنْ ; to;0;0;0;0
لِأنْ ; in order to;0;0;0;0
بَعدَ أنْ ; after;0;0;0;0
عَن ; about;0;0;0;0
عَن طَريق ; by way of ;0;0;0;0
قالَ; to say;0;0;0;0
هذا ; this;0;0;0;0
مَعَ ; with ;0;0;0;0
مَعَ هَذا ; nevertheless ;0;0;0;0
معاً ; together ;0;0;0;0
ألَّتي ; (fem sing) who;0;0;0;0
كُلّ ; each;0;0;0;0
الكُلّ ; everyone;0;0;0;0
كُلُّ شَيْءٍ ; everything;0;0;0;0
كُلُّ ما ; everything that ;0;0;0;0
كُلُّ مَن ; everyone that ;0;0;0;0
كُلُّ مِن ; each one of (the following);0;0;0;0
عَلى كُلٍّ ; in any case;0;0;0;0
هُوَ ; he;0;0;0;0
ف ; and;0;0;0;0
هَذِهِ ; this (fem sing);0;0;0;0
أَوْ ; or ;0;0;0;0
ألَّذي ; (masc sing) who;0;0;0;0
أنا ; I;0;0;0;0
يَوْم; day;0;0;0;0
اليَوْم ; today;0;0;0;0
يَوْماً ما ; someday;0;0;0;0
يَوماً ; ever;0;0;0;0
لَم ;did not;0;0;0;0
ألَم ; didn’t;0;0;0;0
ما ; not;0;0;0;0
أما ; don’t/doesn’t/didn’t…?;0;0;0;0
إنَّ ; truly;0;0;0;0
ما ; what;0;0;0;0
يَيْنَ ; between;0;0;0;0
فيما بَينَنا ; among ourselves ;0;0;0;0
هِيَ ; she;0;0;0;0
بَعدَ ; after ;0;0;0;0
يا ; O…!;0;0;0;0
ذَلِك ; (masc sing) that ;0;0;0;0
قَد ; (with perf) has/have already;0;0;0;0
كانَ قَد ; had already;0;0;0;0
يَكونُ قَد ; will have already;0;0;0;0
آخَر ; other;0;0;0;0
شَيْء ; thing;0;0;0;0
عِندَ ; with;0;0;0;0
أوَّل ; first;0;0;0;0
أوَّل ; beginning;0;0;0;0
أوائِل ; forefathers ;0;0;0;0
أوَّلاً ; first of all;0;0;0;0
غَيْر ; other (than);0;0;0;0
غَيْر أنَّ ; however;0;0;0;0
بِغَيْر ; without;0;0;0;0
إذا ; when;0;0;0;0
و إذا ب ; and (then) suddenly ;0;0;0;0
نَفْس ; same;0;0;0;0
عَرَبيّ ; Arab;0;0;0;0
أيّ ; any (in idaafa);0;0;0;0
رَئِيس ; president;0;0;0;0
عَمَل ; worker;0;0;0;0
وَطَنيّ ; national;0;0;0;0
المَعارِفة; to know;0;0;0;0
بَعْض ; some;0;0;0;0
بَعضَ الشَّيْءٍ ; a little;0;0;0;0
بَعضُهُم بَعضاً ; each other;0;0;0;0
مَعَ بَعض ; together ;0;0;0;0
على بَعض ; on top of each other ;0;0;0;0
وَراء بَعض ; in line;0;0;0;0
دَوْلة ; state;0;0;0;0
كَما ; and;0;0;0;0
إلّا ; except (for);0;0;0;0
إلّا أنَّ ; however;0;0;0;0
وإلّا ; otherwise ;0;0;0;0
أنتَ ; you (masc);0;0;0;0
كَثير ; many;0;0;0;0
كَثيراً ; very much;0;0;0;0
كَثيراً ما ; frequently;0;0;0;0
واحِد ; one;0;0;0;0
لِأنَّ ; because;0;0;0;0
لَكِنَّ ; (with following noun) however;0;0;0;0
لَيْسَ ; to not be ;0;0;0;0
ألَيْسَ ; isn’t…?;0;0;0;0
جَديد ; new;0;0;0;0
مِن جَديد ; again;0;0;0;0
إنْ ; if;0;0;0;0
وإنْ ; even if;0;0;0;0
ما إنْ... حَتّى ; no sooner had… than;0;0;0;0
عام ; year;0;0;0;0
أحَد ; one (of;0;0;0;0
أكثَر ; more/most;0;0;0;0
كَبير ; large;0;0;0;0
الكِبار ; the adults ;0;0;0;0
أخ ; brother;0;0;0;0
يا أخي ; my brother;0;0;0;0
كَيْفَ ; how;0;0;0;0
قَبلَ ; before ;0;0;0;0
مِن قَبلِ ; before;0;0;0;0
من قَبلُ; previously;0;0;0;0
سَنة ; year ;0;0;0;0
أمْر ; matter;0;0;0;0
قُوَّة ; power;0;0;0;0
هَل ; (question marker);0;0;0;0
خِلال ; during;0;0;0;0
في خِلال ; in the course of;0;0;0;0
في خِلال ذَلِك ; meanwhile ;0;0;0;0
من خِلال ; by means of;0;0;0;0
مَرّةً ; once;0;0;0;0
مَرَّتَيْن ; twice ;0;0;0;0
مِراراً ; repeatedly;0;0;0;0
مَرّاتٍ ; several times;0;0;0;0
بِالمَرّة ;might as well;0;0;0;0
يَرى ; to see sth/sb;0;0;0;0
الأبَوان ; the parents;0;0;0;0
هُناكَ ; there;0;0;0;0
يَتِمُّ ; to finish;0;0;0;0
حَيْثُ ; where;0;0;0;0
بِحَيْثُ; so that;0;0;0;0
حَيْثُ أنَّ ; since;0;0;0;0
من حَيْثُ ال ; in terms of;0;0;0;0
الثّاني; second;0;0;0;0
ثانياً ; secondly;0;0;0;0
ثَانيةً ; again;0;0;0;0
حَتّى ; until;0;0;0;0
جَميع ; all (of);0;0;0;0
الجَميع ; everyone ;0;0;0;0
جَميعاً ; altogether;0;0;0;0
مِنطَقة ; region;0;0;0;0
حَقّ ; truth;0;0;0;0
الحُقوق ; the law ;0;0;0;0
حَقّاً ; really;0;0;0;0
أمريكيّ ; American;0;0;0;0
مِثْل ; like;0;0;0;0
لَوْ ; if;0;0;0;0
وَلَوْ ; even if ;0;0;0;0
لَوْ لا ; if not;0;0;0;0
عامّ ; general;0;0;0;0
اِسم ; name ;0;0;0;0
أمكَنَ ; to be possible (ل for sb) to do sth;0;0;0;0
يُمكِنُ أنْ ; it’s possible to (do sth);0;0;0;0
رَجُل ; man;0;0;0;0
لَكِن ; but;0;0;0;0
عالَم ; world ;0;0;0;0
حَياة ; life ;0;0;0;0
مَوْضوع ; subject;0;0;0;0
وَزير ; minister ;0;0;0;0
نَحنُ ; we;0;0;0;0
وَقْت ; time;0;0;0;0
في الوَقْت الذي ; while ;0;0;0;0
بَلَد ; country;0;0;0;0
مَن ; who;0;0;0;0
مَجلِس ; council;0;0;0;0
مَجلِس الشَّعْب ; parliament ;0;0;0;0
مَجلِس الشُّيوخ ; US Senate ;0;0;0;0
يَقومُ; to rise;0;0;0;0
حُكومة ; government;0;0;0;0
بَيْت; house;0;0;0;0
دونَ ; without;0;0;0;0
بِدونَ; without;0;0;0;0
فِلَسطينيّ ; Palestinian ;0;0;0;0
ثُمَّ ; then;0;0;0;0
قَلْب ; heart;0;0;0;0
ألْف ; thousand ;0;0;0;0
ناس ; people;0;0;0;0
طَريق ; road;0;0;0;0
أرْض ; earth;0;0;0;0
سَبَب ; reason;0;0;0;0
شَرِكة ; company;0;0;0;0
عَدَد ; number;0;0;0;0
بَيْنَ أعداد ال ; among those who;0;0;0;0
صورة ; picture;0;0;0;0
دَوْليّ ; international;0;0;0;0
دُوَليّاً ; internationally;0;0;0;0
شَعْب ; people;0;0;0;0
يَعودُ ; to return;0;0;0;0
إنْ شاء الله ; if God wills;0;0;0;0
كَما شِئْتَ ; as you wish;0;0;0;0
الآن ; now ;0;0;0;0
يُريدُ; to want;0;0;0;0
أهْل ; family;0;0;0;0
تِلكَ ; (fem sing) that;0;0;0;0
عَيْن ; eye;0;0;0;0
الَّذينَ ; those who;0;0;0;0
شَكْل ; manner;0;0;0;0
عَمَليّة ; operation;0;0;0;0
